byz,rounds
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.15,1000
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.02,24
0.02,24
0.02,26
0.02,24
0.02,25
0.02,25
0.02,25
0.02,25
0.02,24
0.02,25
0.02,24
0.02,26
0.02,28
0.02,25
0.02,24
0.02,25
0.02,24
0.02,25
0.02,25
0.02,24
0.02,24
0.02,25
0.02,24
0.02,27
0.02,25
0.02,24
0.02,24
0.02,25
0.02,25
0.02,24
0.02,25
0.02,25
0.02,25
0.02,27
0.02,29
0.02,24
0.02,24
0.02,25
0.02,24
0.02,25
0.02,24
0.02,24
0.02,25
0.02,24
0.02,24
0.02,25
0.02,24
0.02,25
0.02,25
0.02,25
0.02,29
0.02,27
0.02,28
0.02,25
0.02,25
0.02,25
0.02,27
0.02,24
0.02,25
0.02,27
0.02,26
0.02,24
0.02,27
0.02,26
0.02,24
0.02,24
0.02,26
0.02,25
0.02,25
0.02,25
0.02,27
0.02,25
0.02,26
0.02,26
0.02,26
0.02,25
0.02,24
0.02,26
0.02,24
0.02,24
0.02,24
0.02,25
0.02,25
0.02,26
0.02,24
0.02,24
